SOURCE;LEMM;STEMM;tag
I-I'm;None;i-i'm;stemm
DAVE;None;dav;stemm
identified;identify;None;lemm
missed;miss;None;lemm
corrections;correction;None;lemm
IG;None;ig;stemm
indistinctly;indistinctly;None;lemm
Where's;None;where's;stemm
moaning;moan;None;lemm
insurgents;insurgent;None;lemm
calls;call;None;lemm
Bluemont;None;bluemont;stemm
asked;ask;None;lemm
Mike's;None;mike's;stemm
Dawkins;None;dawkin;stemm
Andrews;None;andrew;stemm
I've-I've;None;i've-i've;stemm
Iraqis;None;iraq;stemm
isn't;None;None;none
it'd;None;None;none
died;die;None;lemm
briefed;brief;None;lemm
months;month;None;lemm
bribed;bribe;None;lemm
Jody;None;jody;stemm
everyone's;None;None;none
ducking;ducking;None;lemm
hurts;hurt;None;lemm
broadcasts;broadcast;None;lemm
buddies;buddy;None;lemm
kills;kill;None;lemm
kissed;kiss;None;lemm
kissing;kissing;None;lemm
done;do;None;lemm
HQ;None;hq;stemm
hostiles;hostile;None;lemm
interrogated;interrogate;None;lemm
answered;answer;None;lemm
eval;None;ev;stemm
it'll;None;None;none
Afghanistan;None;afgh;stemm
laws;law;None;lemm
addic;None;ad;stemm
escaped;escape;None;lemm
least-favorite;None;None;none
Hates;None;hat;stemm
Garma;None;garm;stemm
lied;lied;None;lemm
nightgown;nightgown;None;lemm
whispers;whisper;None;lemm
breaks;break;None;lemm
fades;fade;None;lemm
we'll;None;None;none
Virgil;None;virgil;stemm
locked;lock;None;lemm
looked;look;None;lemm
engines;engine;None;lemm
who's;None;None;none
endured;endure;None;lemm
ends;end;None;lemm
times;time;None;lemm
phones;phone;None;lemm
Macy's;None;macy's;stemm
suggesting;suggest;None;lemm
softly;softly;None;lemm
marketplace;marketplace;None;lemm
eight-year;None;None;none
killed;kill;None;lemm
gunships;None;gun;stemm
everybody's;None;None;none
meant;mean;None;lemm
wondered;wonder;None;lemm
Eddie;None;eddy;stemm
fainter;faint;None;lemm
Megan;None;meg;stemm
members;member;None;lemm
Al;None;al;stemm
messages;message;None;lemm
Korengal;None;koreng;stemm
migraines;migraine;None;lemm
agreed;agree;None;lemm
Xander;None;xand;stemm
you'd;None;None;none
landmarks;landmark;None;lemm
Mr;None;mr;stemm
monitors;monitor;None;lemm
ducks;duck;None;lemm
Nicholas;None;nichola;stemm
movies;movie;None;lemm
math;math;None;lemm
Langley;None;langley;stemm
kids;kid;None;lemm
honks;honk;None;lemm
interrogations;interrogation;None;lemm
I've;None;i've;stemm
drugs;drug;None;lemm
huh;None;None;none
Nazir's;None;nazir's;stemm
burgers;burger;None;lemm
Qaeda;None;qaed;stemm
boards;board;None;lemm
gunfire;gunfire;None;lemm
Forces;None;forc;stemm
Guy's;None;guy's;stemm
expected;expect;None;lemm
details;detail;None;lemm
questions;question;None;lemm
bluntly;bluntly;None;lemm
days;day;None;lemm
Hmm;None;hmm;stemm
One's;None;one's;stemm
Zayadi;None;zayad;stemm
Oorah;None;oorah;stemm
opened;open;None;lemm
opens;open;None;lemm
drinks;drink;None;lemm
operations;operation;None;lemm
osdb;None;None;none
clicking;click;None;lemm
chuckles;chuckle;None;lemm
dressed;dress;None;lemm
wailing;wailing;None;lemm
doorbell;doorbell;None;lemm
donut;donut;None;lemm
Mathison;None;mathison;stemm
Uh;None;uh;stemm
Ow;None;ow;stemm
doing;do;None;lemm
Thanks;None;thank;stemm
padlocked;padlock;None;lemm
-year;None;None;none
pairs;pair;None;lemm
let's;None;None;none
docs;doc;None;lemm
divorced;divorce;None;lemm
Blackhawk;None;blackhawk;stemm
hours;hour;None;lemm
high-value;None;None;none
HELEN;None;hel;stemm
Hasan;None;has;stemm
groans;groan;None;lemm
greeted;greet;None;lemm
ears;ear;None;lemm
grunts;grunt;None;lemm
easier;easy;None;lemm
gonna;None;gonn;stemm
Germany;None;germany;stemm
ESTES;None;est;stemm
Chris;None;chris;stemm
Frankly;None;frank;stemm
hides;hide;None;lemm
birds;bird;None;lemm
plying;ply;None;lemm
ed;ed;None;lemm
caused;cause;None;lemm
Greeks;None;greek;stemm
We're;None;we'r;stemm
powering;power;None;lemm
gets;get;None;lemm
President's;None;president's;stemm
presumed;presume;None;lemm
gotta;None;gott;stemm
Good-bye;None;good-bye;stemm
mic;None;None;none
elderman;None;elderm;stemm
produced;produce;None;lemm
she's;None;None;none
miles;mile;None;lemm
betrayed;betray;None;lemm
dings;ding;None;lemm
knows;know;None;lemm
bones;bone;None;lemm
How's;None;how's;stemm
puking;puking;None;lemm
Dimming;None;dim;stemm
punishing;punish;None;lemm
prayers;prayer;None;lemm
quacking;quack;None;lemm
MIA;None;mia;stemm
Mrs;None;mrs;stemm
continues;continue;None;lemm
Ramadi;None;ramad;stemm
Resync;None;resynt;stemm
Geez;None;geez;stemm
Ibrahim;None;ibrahim;stemm
reacted;react;None;lemm
Max;None;max;stemm
laughs;laugh;None;lemm
Pittman's;None;pittman's;stemm
happened;happen;None;lemm
recruited;recruit;None;lemm
guys;guy;None;lemm
refusing;refuse;None;lemm
Amman;None;am;stemm
remarried;remarry;None;lemm
repeats;repeat;None;lemm
gasping;gasp;None;lemm
rings;ring;None;lemm
Brody's;None;brody's;stemm
headphones;headphone;None;lemm
resulted;result;None;lemm
deltas;delta;None;lemm
served;serve;None;lemm
years;year;None;lemm
sharply;sharply;None;lemm
risking;risk;None;lemm
decisions;decision;None;lemm
rounds;round;None;lemm
routes;route;None;lemm
goes;go;None;lemm
rules;rule;None;lemm
debriefing;debriefing;None;lemm
debriefed;debrief;None;lemm
saved;save;None;lemm
that's;None;None;none
says;say;None;lemm
analysts;analyst;None;lemm
beeps;beep;None;lemm
scheduled;schedule;None;lemm
scoffs;scoff;None;lemm
GMT;None;gmt;stemm
he'll;None;None;none
David's;None;david's;stemm
Shh;None;shh;stemm
sending;sending;None;lemm
separated;separate;None;lemm
having;have;None;lemm
louder;loud;None;lemm
shouldn't;None;None;none
shaking;shaking;None;lemm
anti-psychotic;None;None;none
anymore;anymore;None;lemm
panting;panting;None;lemm
shorter;short;None;lemm
shouts;shout;None;lemm
minutes;minute;None;lemm
shucked;shuck;None;lemm
shuts;shut;None;lemm
shutters;shutter;None;lemm
Marines;None;marin;stemm
looking;looking;None;lemm
Damascus;None;damasc;stemm
sobs;sob;None;lemm
Somebody's;None;somebody's;stemm
crypto;None;None;none
haven't;None;None;none
approaching;approaching;None;lemm
wanted;want;None;lemm
smiling;smiling;None;lemm
smuggled;smuggle;None;lemm
sniffles;sniffle;None;lemm
sooner;sooner;None;lemm
sobbing;sobbing;None;lemm
grunting;grunt;None;lemm
soldier's;None;None;none
soldiers;soldier;None;lemm
someone's;None;None;none
does;doe;None;lemm
Dana;None;dan;stemm
sounds;sound;None;lemm
can't;None;None;none
speaks;speak;None;lemm
crackles;crackle;None;lemm
speeches;speech;None;lemm
finds;find;None;lemm
arriving;arrive;None;lemm
Jessica;None;jessic;stemm
squawking;squawk;None;lemm
squealing;squeal;None;lemm
couldn't;None;None;none
started;start;None;lemm
States;None;stat;stemm
I'll;None;i'll;stemm
coordinating;coordinate;None;lemm
exhales;exhale;None;lemm
steps;step;None;lemm
didn't;None;None;none
stopped;stop;None;lemm
stops;stop;None;lemm
chirping;chirp;None;lemm
conversing;converse;None;lemm
conversations;conversation;None;lemm
Stuart;None;stuart;stemm
cheering;cheering;None;lemm
STRICKLAND;None;strickland;stemm
sighs;sigh;None;lemm
contacts;contact;None;lemm
subtitles;subtitle;None;lemm
David;None;david;stemm
Baghdad;None;baghdad;stemm
eyes;eye;None;lemm
intel;None;None;none
things;thing;None;lemm
survived;survive;None;lemm
suspects;suspect;None;lemm
Saul;None;saul;stemm
Harder;None;hard;stemm
confirms;confirm;None;lemm
conducted;conduct;None;lemm
principals;principal;None;lemm
tailing;tailing;None;lemm
Nazir;None;nazir;stemm
fighters;fighter;None;lemm
assets;asset;None;lemm
targets;target;None;lemm
Abu;None;abu;stemm
surprised;surprise;None;lemm
Jim;None;jim;stemm
buzzes;buzz;None;lemm
CIA;None;cia;stemm
JSOC;None;jsoc;stemm
tf;None;None;none
guards;guard;None;lemm
comes;come;None;lemm
getting;getting;None;lemm
giving;giving;None;lemm
collecting;collecting;None;lemm
codes;code;None;lemm
Touchdown;None;touchdown;stemm
tours;tour;None;lemm
happens;happen;None;lemm
Farsi;None;fars;stemm
eyebrows;eyebrow;None;lemm
Mom;None;mom;stemm
hang-ups;hang-up;None;lemm
there's;None;None;none
He's;None;he's;stemm
turnout;turnout;None;lemm
Turns;None;turn;stemm
UH-;None;uh-;stemm
um;None;None;none
Clozapine's;None;clozapine's;stemm
babysitting;babysitting;None;lemm
Clozapine;None;clozapin;stemm
♪;None;♺;stemm
upbeat;upbeat;None;lemm
gasps;gasp;None;lemm
users;user;None;lemm
they're;None;None;none
asshole;asshole;None;lemm
Aw;None;aw;stemm
handler;handler;None;lemm
gives;give;None;lemm
vomiting;vomiting;None;lemm
CARRIE;None;carry;stemm
clears;clear;None;lemm
Washington;None;washington;stemm
Washingtonians;None;washington;stemm
wasn't;None;None;none
watching;watching;None;lemm
Feldman's;None;feldman's;stemm
clearer;clear;None;lemm
waving;waving;None;lemm
we've;None;we'v;stemm
don't;None;None;none
It's;None;it's;stemm
wears;wear;None;lemm
weeds;weed;None;lemm
weeks;week;None;lemm
wants;want;None;lemm
welcoming;welcome;None;lemm
What-what;None;what-wh;stemm
Where's-Where's;None;where's-where's;stemm
tires;tire;None;lemm
whines;whine;None;lemm
whining;whine;None;lemm
whispered;whisper;None;lemm
guts;gut;None;lemm
who'll;None;None;none
prompted;prompt;None;lemm
winces;wince;None;lemm
audio;audio;None;lemm
wishes;wish;None;lemm
Brody;None;brody;stemm
witnessed;witness;None;lemm
Iraq;None;iraq;stemm
cleaned;clean;None;lemm
words;word;None;lemm
attacks;attack;None;lemm
wouldn't;None;None;none
father's;None;None;none
clarifications;clarification;None;lemm
shit;shit;None;lemm
Xan;None;xan;stemm
civilians;civilian;None;lemm
yelling;yelling;None;lemm
www;www;None;lemm
-;None;None;none
You've;None;you've;stemm
What's;None;what's;stemm
zooming;zoom;None;lemm
